"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.670009500E0,1.470451945E-1,-1.635640231E1,-2.135832342E0,1.649591764E1
2.679960500E0,8.329382086E-1,-1.643520875E1,-3.094267001E0,1.674468157E1
2.689912500E0,8.387924409E-1,-1.559792722E1,-4.060453899E0,1.613958464E1
2.699863500E0,1.440140564E0,-1.330498020E1,-4.105305551E0,1.399821548E1
2.709814500E0,4.106591939E0,-1.004548375E1,-3.518172594E0,1.140847840E1
2.719765500E0,9.750361909E0,-6.323474291E0,-2.712057903E0,1.193361398E1
2.729716500E0,1.753323398E1,-1.738904632E0,-1.416049451E0,1.767606515E1
2.739667500E0,2.602262630E1,2.746909647E0,7.818300354E-1,2.617888176E1
2.749618500E0,3.212713347E1,6.313488416E0,3.733714997E0,3.295380811E1
2.759569500E0,3.269432976E1,9.631838847E0,7.332464561E0,3.486339849E1
2.769520500E0,2.881061146E1,1.232100256E1,1.066404900E1,3.309955253E1
2.779472500E0,2.252615740E1,1.359617388E1,1.196731150E1,2.890502129E1
2.789423500E0,1.683733346E1,1.358439525E1,1.025997365E1,2.394365577E1
2.799374500E0,1.248054618E1,1.311939074E1,6.877571064E0,1.936965230E1
2.809325500E0,8.848868605E0,1.272846345E1,4.001187690E0,1.601017677E1
2.819276500E0,5.527127958E0,1.239150010E1,1.699958668E0,1.367436572E1
2.829227500E0,2.606333227E0,1.201363081E1,1.142984388E-1,1.229363096E1
2.839178500E0,2.711014760E-1,1.150940435E1,-3.971580899E-1,1.151944526E1
2.849129500E0,-1.121548587E0,1.088727932E1,5.253688180E-1,1.095749673E1
2.859081500E0,-1.800945345E0,1.034372215E1,2.761410742E0,1.085639818E1
2.869032500E0,-2.225552604E0,9.954608660E0,5.008561206E0,1.136367033E1
2.878983500E0,-3.136069915E0,9.686835419E0,6.563434081E0,1.211397465E1
2.888934500E0,-4.723165042E0,9.569924435E0,7.043006337E0,1.278654292E1
2.898885500E0,-6.621143761E0,9.441545892E0,6.204633726E0,1.309503010E1
2.908836500E0,-8.317468384E0,9.147579464E0,4.837382798E0,1.327624807E1
2.918787500E0,-9.558379692E0,8.677735806E0,3.834816864E0,1.346742520E1
2.928738500E0,-1.057650448E1,7.935304309E0,3.061873426E0,1.357227212E1
2.938690500E0,-1.146627061E1,7.111243343E0,2.322867229E0,1.369090413E1
2.948641500E0,-1.222954509E1,6.150427113E0,1.611147648E0,1.378351637E1
2.958592500E0,-1.282035478E1,5.209737584E0,1.293216991E0,1.389875075E1
2.968543500E0,-1.321987631E1,4.405007513E0,1.650615184E0,1.403188339E1
2.978494500E0,-1.330602919E1,3.769592927E0,2.573656647E0,1.406712309E1
2.988445500E0,-1.301588801E1,3.308998102E0,3.449995229E0,1.386597549E1
2.998396500E0,-1.195481834E1,2.977372974E0,3.881318600E0,1.291692942E1
3.008347500E0,-1.051728154E1,2.474454248E0,3.805241647E0,1.145495521E1
3.018299500E0,-9.725742207E0,1.965215852E0,3.392704210E0,1.048630424E1
3.028250500E0,-9.481357244E0,1.827264247E0,3.113353482E0,1.014534375E1
3.038201500E0,-9.531587750E0,2.566578885E0,3.287495259E0,1.040413943E1
3.048152500E0,-9.306851771E0,4.695198394E0,4.281386265E0,1.126910139E1
3.058103500E0,-8.178339735E0,9.417498633E0,7.338360894E0,1.447156045E1
3.068054500E0,-1.668217642E0,1.615138373E1,1.208801908E1,2.024278518E1
3.078005500E0,1.509440360E1,1.951107573E1,1.503625188E1,2.888965155E1
3.087956500E0,3.410151834E1,2.285596141E1,1.526376821E1,4.379830071E1
3.097907500E0,4.462321336E1,2.498235050E1,1.367458972E1,5.293716474E1
3.107859500E0,4.576217145E1,2.119200288E1,8.926539509E0,5.121484579E1
3.117810500E0,4.021906247E1,1.562777141E1,1.483334531E0,4.317407215E1
3.127761500E0,3.356193026E1,9.782314603E0,-5.285515745E0,3.535581308E1
3.137712500E0,2.727422047E1,3.464843064E0,-1.069112628E1,2.949895626E1
