t,x_acc,y_acc,z_acc,x_rot,y_rot,z_rot,move_type
5.128461917,5.438041534,10.45994843,-5.707930298,1.71754396,1.902676105,-5.805129528,0
5.138414917,7.333250427,10.2226918,-3.49268692,1.679738164,1.774006486,-6.253009796,0
5.148366917,10.30726593,9.663305054,-1.488654327,1.487875342,2.156165123,-6.669156551,0
5.158318917,13.12994614,8.040978699,-2.157164154,1.051109195,2.51885891,-7.007245064,0
5.168271917,14.49301163,6.539002075,-3.387755127,0.6064531803,2.736596584,-7.241587639,0
5.178223917,14.5822261,6.65426239,-3.18612442,0.3705965281,2.853301764,-7.370635033,0
5.188175917,14.51741089,7.760911102,-1.509910126,0.3098383844,2.926125765,-7.409619331,0
5.198127917,14.70482117,7.998616791,0.1149609375,0.4275879264,2.985066414,-7.352627754,0
5.208080917,14.99641479,7.433990936,1.534608765,0.8434063792,2.917860508,-7.234437943,0
5.218032917,15.13457748,6.439908142,3.226390686,1.689811468,2.721568823,-7.079596519,0
5.227984917,15.01722153,4.87925354,4.95065506,2.817132235,2.389661074,-6.811133862,0
5.237936917,14.06160873,3.389401703,5.817801819,3.842093945,1.94047606,-6.444767475,0
5.247889917,12.04829544,1.875749359,4.785997467,4.423463345,1.286868095,-5.898504257,0
5.257841917,9.976004791,0.5930667114,2.112257538,4.588974476,0.515324533,-5.055531979,0
5.267793917,8.668324127,-0.6965016174,-0.6330335999,4.388798237,-0.2149299234,-4.019898415,0
5.277745917,7.837402039,-2.449955292,-3.179388428,3.764281034,-0.8960664272,-2.903562069,0
5.287698917,6.978039093,-4.050277405,-5.597759399,2.686177015,-1.511241436,-1.749171495,0
5.297650917,5.732329559,-5.258265381,-7.413782959,1.37024343,-1.892315269,-0.5535241961,0
5.307602917,4.02977005,-5.994584198,-8.131390686,0.05505143106,-2.06951189,0.7227757573,0
5.317554917,2.552342377,-6.308631134,-7.201674042,-0.9316946864,-2.024050236,1.994305015,0
5.327507917,1.708397369,-6.822512512,-4.921166382,-1.369971871,-1.83299911,3.151729345,0
5.337459917,1.483864288,-7.552544403,-2.056872711,-1.214788675,-1.689223766,4.262275696,0
5.347411917,1.182540894,-8.285121002,0.7132667542,-0.5417102575,-1.68532896,5.347019672,0
5.357363917,0.9659413147,-8.818012848,3.068618774,0.5055223107,-1.721322179,6.273571014,0
5.367316917,1.761536865,-8.85872818,4.171076202,1.586236,-1.746620893,6.998373508,0
5.377268917,3.789669342,-8.649912415,3.402723999,2.197629452,-1.761300683,7.59821701,0
5.387220917,6.116281128,-8.161627808,0.6331832886,2.266627789,-1.732617021,8.017352104,0
5.397172917,8.521180115,-7.078629913,-2.589165802,1.808060288,-1.692527294,8.207403183,0
5.407125917,10.8889563,-5.803880768,-5.406008148,0.9438424706,-1.619920969,8.24018383,0
5.417077917,12.69989044,-4.296066284,-7.603139191,-0.1265587807,-1.578993082,8.183357239,0
5.427029917,13.79171997,-2.279160461,-8.449778595,-1.051715612,-1.679400682,8.045913696,0
5.436982917,14.79448471,-0.0470022583,-7.468718719,-1.525264621,-1.866425633,7.830154896,0
5.446934917,15.71866287,2.533032532,-4.716392212,-1.604307771,-1.802963853,7.567439556,0
5.456886917,16.18374573,6.351741486,-1.883982239,-1.53198421,-1.445488095,7.206039906,0
5.466838917,15.89769058,11.67572021,0.6701564026,-1.35067749,-1.08308351,6.771634102,0
5.476791917,14.72951981,17.43888565,3.272794189,-0.8845923543,-0.8103003502,6.115030766,0
5.486743917,13.76327911,22.40061768,6.513405304,-0.3083077371,-0.5302769542,5.197798252,0
5.496695917,12.90361679,26.63141968,9.110504608,-0.08757783473,-0.2553426623,4.216632843,0
5.506647917,11.17965179,30.11991531,8.52761673,-0.3429478109,-0.06221129373,3.3675282,0
5.516600917,8.164471893,32.57720535,6.523135071,-0.6287698746,0.2192536294,2.588226318,0
5.526552917,5.773493958,34.99422913,6.958429871,-0.7103515267,0.6904647946,1.929417133,0
5.536504917,3.999682617,37.23671585,8.785829773,-0.5321410298,1.245950818,1.304574966,0
5.546456917,3.115770721,39.43998413,10.39184006,-0.09326221049,1.738046527,0.591620326,0
5.556409917,3.622467041,41.57200058,11.11648315,0.508803606,2.139897346,-0.3561797142,0
5.566361917,5.313650208,43.29357056,10.73777069,1.125819683,2.368715525,-1.734228969,0
5.576313917,8.108937378,42.91126556,8.872200165,1.533744335,2.281033993,-3.059021235,0
5.586265417,8.810079346,40.06837738,5.270839233,1.5895046,2.049945116,-4.00810194,0
5.596218417,7.504045258,35.87320129,1.152902527,1.273638368,1.871435523,-4.656850815,0
5.606170417,6.812932434,30.88287872,-2.722388763,0.6644423604,1.774502516,-5.048532486,0
5.616122417,6.563700714,26.50837555,-5.599405975,-0.02811317891,1.726049185,-5.227934361,0
5.626074417,6.695426788,23.74497208,-6.725514221,-0.578481257,1.769180059,-5.409801483,0
5.636027417,8.146359558,21.19412659,-6.424490204,-0.8536795378,1.876229882,-5.523088932,0
5.645979417,9.149124298,18.46664841,-5.560037842,-0.8118146658,1.935076714,-5.510847569,0
5.655931417,9.469907227,16.36307281,-4.163741455,-0.4879996181,1.969762206,-5.481222153,0
5.665883417,10.43195663,14.33598816,-2.879412231,0.05937133729,2.005612135,-5.503964424,0
5.675836417,12.08227478,12.04230789,-2.004182281,0.7988627553,2.018613577,-5.544935226,0
5.685788417,13.53440506,9.190139008,-1.613644409,1.658478737,1.919942141,-5.422827244,0
5.695740417,13.98451904,5.914351044,-1.981728973,2.429462194,1.682084918,-5.138288975,0
5.705692417,14.05472305,2.116598511,-3.140169983,2.940080643,1.422974586,-4.74868679,0
5.715645417,14.03436539,-1.551972656,-4.9939151,3.099097967,1.162395477,-4.262520313,0
5.725597417,14.13630341,-4.850662994,-7.034771118,2.905422688,0.9564672709,-3.725780964,0
5.735549417,14.3328447,-7.520960083,-8.667425995,2.371472836,0.8447266817,-3.203702688,0
5.745502417,14.44675781,-9.551637268,-9.788744202,1.557370543,0.8882189989,-2.704007149,0
5.755454417,14.18480255,-11.18519028,-10.59811111,0.7044749856,1.060786009,-2.224462509,0
5.765406417,13.38621323,-12.79479309,-10.70109695,0.01526434999,1.136508703,-1.749057651,0
5.775358417,12.09649521,-14.10471909,-9.673034821,-0.4582542181,0.9863187075,-1.279401183,0
5.785311417,10.26220963,-15.32992126,-8.275091858,-0.7019078732,0.6060262322,-0.808794558,0
5.795263417,8.281977539,-16.72531952,-6.943011932,-0.7274470329,0.04572087899,-0.2851703763,0
5.805215417,5.988896027,-18.27070587,-5.458848267,-0.6088298559,-0.5941842794,0.4132662416,0
5.815167417,3.48565155,-19.3492131,-4.004921722,-0.4435336292,-1.09417963,1.366417885,0
5.825120417,0.9846524048,-19.46118027,-2.709515533,-0.2910985649,-1.34376657,2.433244705,0
5.835072417,-0.5334906006,-18.99714523,-1.529219971,-0.2220243961,-1.38118875,3.477681875,0
5.845024417,-0.9220825195,-18.12326248,-0.7333250427,-0.1727854759,-1.264526367,4.438166618,0
5.854976417,-0.7409591675,-16.49105667,0.05014572144,-0.06542737037,-1.061499238,5.337043285,0
